  1   0 -29617.37         0 
  1   1  -1729.24   5185.65 
  2   0  -2268.46         0 
  2   1   3068.92  -2481.77 
  2   2   1670.76   -457.62 
  3   0   1340.16         0 
  3   1  -2288.34   -227.87 
  3   2   1252.09    293.28 
  3   3    714.08   -491.32 
  4   0    932.11         0 
  4   1    786.66    273.21 
  4   2    249.82   -231.70 
  4   3   -403.30    119.53 
  4   4    111.25   -303.65 
  5   0   -217.06         0 
  5   1    351.98     42.76 
  5   2    222.06    171.19 
  5   3   -130.52   -132.88 
  5   4   -168.40    -39.42 
  5   5    -12.92    106.44 
  6   0     71.40         0 
  6   1     67.40    -16.86 
  6   2     74.17     64.34 
  6   3   -160.81     65.34 
  6   4     -5.77    -61.03 
  6   5     17.00      0.80 
  6   6    -90.38     43.96 
  7   0     79.07         0 
  7   1    -73.59    -65.03 
  7   2     -0.04    -24.69 
  7   3     33.10      6.17 
  7   4      9.11     24.03 
  7   5      7.03     14.87 
  7   6      7.08    -25.34 
  7   7     -1.31     -5.71 
  8   0     23.92         0 
  8   1      5.99     12.18 
  8   2     -9.20    -21.05 
  8   3     -7.74      8.63 
  8   4    -16.54    -21.39 
  8   5      8.95     15.30 
  8   6      7.03      8.76 
  8   7     -7.97    -14.92 
  8   8     -7.01     -2.46 
  9   0      5.30       0 
  9   1      9.63    -19.91 
  9   2      2.93     13.07 
  9   3     -8.58     12.50 
  9   4      6.32     -6.23 
  9   5     -8.76     -8.31 
  9   6     -1.53      8.46 
  9   7      9.13      3.88 
  9   8     -4.24     -8.29 
  9   9     -8.09      4.88 
 10   0     -3.03       0 
 10   1     -6.46      1.87 
 10   2      1.56      0.34 
 10   3     -2.95      4.12 
 10   4     -0.32      4.94 
 10   5      3.67     -5.86 
 10   6      1.11     -1.18 
 10   7      2.09     -2.84 
 10   8      4.41      0.24 
 10   9      0.42     -1.98 
 10  10     -0.94     -7.67 
 11   0      2.54       0 
 11   1     -1.58      0.36 
 11   2     -1.83      1.29 
 11   3      1.47     -0.85 
 11   4     -0.08     -2.59 
 11   5      0.18      0.90 
 11   6     -0.74     -0.65 
 11   7      0.78     -2.82 
 11   8      1.85     -0.89 
 11   9      0.01     -1.08 
 11  10      1.05     -1.98 
 11  11      4.07     -0.44 
 12   0     -2.53       0 
 12   1     -0.51     -0.40 
 12   2      0.19      0.25 
 12   3      0.86      2.38 
 12   4     -0.22     -2.66 
 12   5      0.85      0.54 
 12   6     -0.60      0.29 
 12   7      0.30      0.02 
 12   8     -0.34     -0.03 
 12   9     -0.50      0.21 
 12  10     -0.26     -1.00 
 12  11     -0.16     -0.48 
 12  12      0.30      0.54 
 13   0     -0.24       0 
 13   1     -0.81     -0.81 
 13   2      0.44      0.23 
 13   3      0.07      1.79 
 13   4     -0.39     -0.49 
 13   5      1.31     -0.95 
 13   6     -0.46     -0.03 
 13   7      0.74      0.63 
 13   8     -0.30      0.21 
 13   9      0.32      0.62 
 13  10     -0.14      0.29 
 13  11      0.26     -0.23 
 13  12      0.24     -0.24 
 13  13     -0.08     -1.03 
 14   0     -0.57       0 
 14   1     -0.06      0.12 
 14   2     -0.20     -0.74 
 14   3     -0.13      0.19 
 14   4     -0.18      0.40 
 14   5      0.18     -0.11 
 14   6     -0.06      0.42 
 14   7      0.05      0.20 
 14   8      0.26      0.26 
 14   9      0.03      0.30 
 14  10      0.59      0.03 
 14  11     -0.41     -0.03 
 14  12      0.04      0.05 
 14  13      0.38      0.04 
 14  14      0.44      0.21 
 15   0      0.24       0 
 15   1      0.50      0.48 
 15   2      0.12      0.07 
 15   3      0.53      0.20 
 15   4     -0.05      0.08 
 15   5      0.14     -0.10 
 15   6     -0.11      0.04 
 15   7     -0.18      0.23 
 15   8      0.09     -0.25 
 15   9     -0.30     -0.03 
 15  10     -0.09     -0.07 
 15  11      0.37     -0.08 
 15  12      0.10     -0.44 
 15  13     -0.24      0.34 
 15  14     -0.31     -0.02 
 15  15     -0.82      0.19 
 16   0     -0.27       0 
 16   1      0.01      0.03 
 16   2     -0.42      0.05 
 16   3     -0.04      0.07 
 16   4     -0.16     -0.11 
 16   5     -0.05     -0.09 
 16   6      0.04     -0.09 
 16   7     -0.06     -0.03 
 16   8      0.23     -0.03 
 16   9     -0.25      0.02 
 16  10      0.05     -0.26 
 16  11      0.19     -0.08 
 16  12      0.00     -0.21 
 16  13      0.02     -0.14 
 16  14      0.00      0.15 
 16  15     -0.28     -0.27 
 16  16     -0.68     -0.04 
 17   0      0.02       0 
 17   1      0.14      0.00 
 17   2      0.21     -0.34 
 17   3      0.32     -0.10 
 17   4      0.19     -0.25 
 17   5     -0.00     -0.35 
 17   6     -0.06     -0.05 
 17   7     -0.07     -0.21 
 17   8      0.14     -0.06 
 17   9     -0.01     -0.01 
 17  10      0.01     -0.09 
 17  11     -0.09      0.08 
 17  12      0.01      0.09 
 17  13      0.00      0.12 
 17  14      0.32     -0.38 
 17  15      0.08      0.14 
 17  16     -0.10     -0.50 
 17  17      0.54     -0.39 
 18   0      0.19       0 
 18   1     -0.12     -0.25 
 18   2      0.01      0.03 
 18   3      0.15     -0.09 
 18   4     -0.23      0.17 
 18   5      0.22      0.06 
 18   6      0.21     -0.03 
 18   7     -0.09     -0.24 
 18   8     -0.01     -0.25 
 18   9      0.02     -0.15 
 18  10      0.08      0.04 
 18  11     -0.11      0.17 
 18  12     -0.23     -0.18 
 18  13     -0.26      0.02 
 18  14      0.28      0.27 
 18  15      0.15      0.05 
 18  16      0.28     -0.24 
 18  17      0.39      0.05 
 18  18      0.27     -0.32 
 19   0      0.07       0 
 19   1      0.35     -0.04 
 19   2      0.12     -0.04 
 19   3      0.02     -0.05 
 19   4      0.16     -0.07 
 19   5      0.05     -0.46 
 19   6     -0.07     -0.02 
 19   7      0.07     -0.05 
 19   8     -0.07     -0.06 
 19   9      0.06     -0.02 
 19  10     -0.00      0.06 
 19  11      0.07      0.15 
 19  12     -0.02     -0.03 
 19  13      0.10      0.24 
 19  14     -0.30     -0.06 
 19  15      0.12      0.35 
 19  16     -0.14      0.10 
 19  17     -0.12     -0.03 
 19  18      0.27     -0.13 
 19  19      0.15      0.29 
